scientific_name,sra_accession,mag_file,tax_id,mag_name
uncultured Sphingomonas sp.,ERS6627281,uncultured_Sphingomonas_sp._ERS6627281.fasta,158754,uncultured_Sphingomonas_sp._ERS6627281
uncultured Novosphingobium sp.,ERS6627291,uncultured_Novosphingobium_sp._ERS6627291.fasta,292277,uncultured_Novosphingobium_sp._ERS6627291
uncultured Pseudacidovorax sp.,ERS6626909,uncultured_Pseudacidovorax_sp._ERS6626909.fasta,679313,uncultured_Pseudacidovorax_sp._ERS6626909
uncultured Stenotrophomonas sp.,ERS6627337,uncultured_Stenotrophomonas_sp._ERS6627337.fasta,165438,uncultured_Stenotrophomonas_sp._ERS6627337
uncultured Brevundimonas sp.,ERS6627276,uncultured_Brevundimonas_sp._ERS6627276.fasta,213418,uncultured_Brevundimonas_sp._ERS6627276
uncultured Sphingomonas sp.,ERS6626957,uncultured_Sphingomonas_sp._ERS6626957.fasta,158754,uncultured_Sphingomonas_sp._ERS6626957
uncultured Sphingomonas sp.,ERS6626857,uncultured_Sphingomonas_sp._ERS6626857.fasta,158754,uncultured_Sphingomonas_sp._ERS6626857
uncultured Pseudomonas sp.,ERS6626882,uncultured_Pseudomonas_sp._ERS6626882.fasta,114707,uncultured_Pseudomonas_sp._ERS6626882
uncultured Novosphingobium sp.,ERS6627336,uncultured_Novosphingobium_sp._ERS6627336.fasta,292277,uncultured_Novosphingobium_sp._ERS6627336
uncultured Pseudocitrobacter sp.,ERS6626990,uncultured_Pseudocitrobacter_sp._ERS6626990.fasta,1732514,uncultured_Pseudocitrobacter_sp._ERS6626990
uncultured Sphingomonas sp.,ERS6627013,uncultured_Sphingomonas_sp._ERS6627013.fasta,158754,uncultured_Sphingomonas_sp._ERS6627013
uncultured Stenotrophomonas sp.,ERS6627319,uncultured_Stenotrophomonas_sp._ERS6627319.fasta,165438,uncultured_Stenotrophomonas_sp._ERS6627319
uncultured Pseudomonas sp.,ERS6626953,uncultured_Pseudomonas_sp._ERS6626953.fasta,114707,uncultured_Pseudomonas_sp._ERS6626953
uncultured Novosphingobium sp.,ERS6626989,uncultured_Novosphingobium_sp._ERS6626989.fasta,292277,uncultured_Novosphingobium_sp._ERS6626989
uncultured Exiguobacterium sp.,ERS6627301,uncultured_Exiguobacterium_sp._ERS6627301.fasta,202669,uncultured_Exiguobacterium_sp._ERS6627301
uncultured Sphingomonas sp.,ERS6627280,uncultured_Sphingomonas_sp._ERS6627280.fasta,158754,uncultured_Sphingomonas_sp._ERS6627280
uncultured Xanthomonas sp.,ERS6626924,uncultured_Xanthomonas_sp._ERS6626924.fasta,152831,uncultured_Xanthomonas_sp._ERS6626924
uncultured Naasia sp.,ERS6627012,uncultured_Naasia_sp._ERS6627012.fasta,1805779,uncultured_Naasia_sp._ERS6627012
uncultured Deinococcus sp.,ERS6627335,uncultured_Deinococcus_sp._ERS6627335.fasta,158789,uncultured_Deinococcus_sp._ERS6627335
uncultured Microbacterium sp.,ERS6627334,uncultured_Microbacterium_sp._ERS6627334.fasta,191216,uncultured_Microbacterium_sp._ERS6627334
