IRRI seed bank ID,SRA accession,Group,New SRA
IRGC 121334,ERS6595827,japonica,ERR6050644
IRGC 121354,ERS6595598,japonica,ERR6050415
IRGC 121354,ERS6595708,japonica,ERR6050525
IRGC 121354,ERS6595818,japonica,ERR6050635
IRGC 121363,ERS6595705,japonica,ERR6050522
IRGC 121363,ERS6595595,japonica,ERR6050412
IRGC 121363,ERS6595815,japonica,ERR6050632
IRGC 121368,ERS6595722,japonica,ERR6050539
IRGC 121368,ERS6595612,japonica,ERR6050429
IRGC 121368,ERS6595832,japonica,ERR6050649
IRGC 121380,ERS6595727,indica,ERR6050544
IRGC 121380,ERS6595506,indica,ERR6050324
IRGC 121380,ERS6595617,indica,ERR6050434
IRGC 121411,ERS6595545,indica,ERR6050363
IRGC 121411,ERS6595766,indica,ERR6050583
IRGC 121411,ERS6595656,indica,ERR6050473
IRGC 121453,ERS6595819,japonica,ERR6050636
IRGC 121453,ERS6595709,japonica,ERR6050526
IRGC 121453,ERS6595599,japonica,ERR6050416
IRGC 121524,ERS6595566,japonica,ERR6050384
IRGC 121524,ERS6595787,japonica,ERR6050604
IRGC 121524,ERS6595677,japonica,ERR6050494
IRGC 121528,ERS6595637,indica,ERR6050454
IRGC 121528,ERS6595526,indica,ERR6050344
IRGC 121528,ERS6595747,indica,ERR6050564
IRGC 121548,ERS6595572,japonica,ERR6050390
IRGC 121548,ERS6595683,japonica,ERR6050500
IRGC 121548,ERS6595793,japonica,ERR6050610
IRGC 121554,ERS6595790,japonica,ERR6050607
IRGC 121554,ERS6595569,japonica,ERR6050387
IRGC 121554,ERS6595680,japonica,ERR6050497
IRGC 121572,ERS6595645,japonica,ERR6050462
IRGC 121572,ERS6595755,japonica,ERR6050572
IRGC 121572,ERS6595534,japonica,ERR6050352
IRGC 121588,ERS6595696,indica,ERR6050513
IRGC 121588,ERS6595586,indica,ERR6050403
IRGC 121588,ERS6595806,indica,ERR6050623
IRGC 121600,ERS6595505,japonica,ERR6050323
IRGC 121600,ERS6595726,japonica,ERR6050543
IRGC 121600,ERS6595616,japonica,ERR6050433
IRGC 121605,ERS6595798,indica,ERR6050615
IRGC 121605,ERS6595577,indica,ERR6050395
IRGC 121605,ERS6595688,indica,ERR6050505
IRGC 121608,ERS6595807,indica,ERR6050624
IRGC 121608,ERS6595697,indica,ERR6050514
IRGC 121608,ERS6595587,indica,ERR6050404
IRGC 121611,ERS6595535,indica,ERR6050353
IRGC 121611,ERS6595646,indica,ERR6050463
IRGC 121611,ERS6595756,indica,ERR6050573
IRGC 121621,ERS6595542,indica,ERR6050360
IRGC 121621,ERS6595763,indica,ERR6050580
IRGC 121621,ERS6595653,indica,ERR6050470
IRGC 121646,ERS6595536,japonica,ERR6050354
IRGC 121646,ERS6595647,japonica,ERR6050464
IRGC 121646,ERS6595757,japonica,ERR6050574
IRGC 121670,ERS6595733,japonica,ERR6050550
IRGC 121670,ERS6595623,japonica,ERR6050440
IRGC 121670,ERS6595512,japonica,ERR6050330
IRGC 121694,ERS6595774,japonica,ERR6050591
IRGC 121694,ERS6595664,japonica,ERR6050481
IRGC 121694,ERS6595553,japonica,ERR6050371
IRGC 121697,ERS6595712,japonica,ERR6050529
IRGC 121697,ERS6595602,japonica,ERR6050419
IRGC 121697,ERS6595822,japonica,ERR6050639
IRGC 121699,ERS6595614,japonica,ERR6050431
IRGC 121699,ERS6595724,japonica,ERR6050541
IRGC 121699,ERS6595503,japonica,ERR6050321
IRGC 121732,ERS6595639,japonica,ERR6050456
